species,Common name,Temp (degree celsius),T^2,DIC,Age at death,Sex of infant,Context,Age Cat,Parity,Degree of arboreality,Condition,Study Site
Pan troglodytes schweinfurthii,Chimp,25.85,668.2225,7,3,M,Sick,Young,PM,Semi-terrestrial,Wild,"Mahale, Tanzania"
Pan troglodytes schweinfurthii,,24,576,7,0.633,M,Sick,Young,PM,Semi-terrestrial,Wild,"Mahale, Tanzania"
Pan troglodytes schweinfurthii,,24.95,622.5025,128,4,F,Sick,Old,MP,Semi-terrestrial,Wild,"Mahale, Tanzania"
Pan troglodytes troglodytes,,18.5,342.25,2,16,F,Sick,Young,MP,Semi-terrestrial,Semi wild,"Chimfunshi, Zambia"
Pan troglodytes verus,,26,676,19,31.2,F,Sick,Young,PM,Semi-terrestrial,Wild,"Bossou, Guinea"
Pan troglodytes verus,,21,441,27,30,F,Sick,Old,MP,Semi-terrestrial,Wild,"Bossou, Guinea"
Pan troglodytes verus,,27.8,772.84,68,14.4,M,Sick,Old,MP,Semi-terrestrial,Wild,"Bossou, Guinea"
Pan troglodytes schweinfurthii,,,,2,1,M,Sick,NA,MP,Semi-terrestrial,Wild,"Gombe, Tanzania"
Gorilla beringei,Gorilla,15,225,3,0.233,F,Sick,Young,MP,Terrestrial,Wild,"VNP, Rwanda"
Gorilla beringei,,18.5,342.25,4,0.067,F,Sick,Young,MP,Terrestrial,Wild,"Mahale, Tanzania"
Gorilla beringei,,11,121,6,1.2,NA,Infanticide,Young,PM,Terrestrial,Wild,"VNP, Rwanda"
Gorilla beringei,,12,144,20,0.43,NA,Infanticide,Young,PM,Terrestrial,Wild,"VNP, Rwanda"
Gorilla beringei,,17.13,293.4369,4,3.3,M,Sick,Young,MP,Terrestrial,Captivity,"Munster Zoo, Germany"
Rhinopithecus bieti,YN Snub,4,16,1,0,M,Stillbirth,Young,MP,Semi-terrestrial,Wild,"Yunnan, China"
Rhinopithecus bieti,,13,169,4,1,M,Sick,Young,MP,Semi-terrestrial,Wild,"Yunnan, China"
Macaca fuscata,Japanese,17.4,302.76,1,0.0333,M,Sick,Old,MP,Semi-terrestrial,Wild,"Takasakiyama, Japan"
Macaca fuscata,,23.05,531.3025,2,0.3333,F,Sick,Old,MP,Semi-terrestrial,Wild,"Takasakiyama, Japan"
Macaca fuscata,,23.05,531.3025,2,0.8,F,Sick,Young,PM,Semi-terrestrial,Wild,"Takasakiyama, Japan"
Macaca fuscata,,24.65,607.6225,4,0.16667,F,Sick,Old,MP,Semi-terrestrial,Wild,"Takasakiyama, Japan"
Macaca fuscata,,23.5,552.25,2,0.0333,F,Sick,Old,MP,Semi-terrestrial,Wild,"Takasakiyama, Japan"
Macaca fuscata,,23.8,566.44,3,0.1,M,Sick,Old,MP,Semi-terrestrial,Wild,"Takasakiyama, Japan"
Macaca fuscata,,17.8,316.84,3,0.06667,M,Sick,Young,MP,Semi-terrestrial,Wild,"Takasakiyama, Japan"
Macaca fuscata,,22.5,506.25,17,0,F,Stillbirth,Old,MP,Semi-terrestrial,Wild,"Takasakiyama, Japan"
Macaca fuscata,,17.8,316.84,1,0,F,Stillbirth,Old,MP,Semi-terrestrial,Wild,"Takasakiyama, Japan"
Semnopithecus entellus,H Langur,22,484,4,0,NA,Stillbirth,Young,MP,Semi-terrestrial,Urban,"Jodhpur, India"
Semnopithecus entellus,,29,841,8,3,M,Sick,Young,PM,Semi-terrestrial,Urban,"Jodhpur, India"
Semnopithecus entellus,,27.22,740.9284,7,0,NA,Stillbirth,Young,MP,Semi-terrestrial,Urban,"Jodhpur, India"
Semnopithecus entellus,,30,900,10,2,F,Sick,Young,MP,Semi-terrestrial,Urban,"Jodhpur, India"
Semnopithecus entellus,,36,1296,9,4,M,Sick,Young,MP,Semi-terrestrial,Urban,"Jodhpur, India"
Semnopithecus entellus,,29,841,27,3,M,Sick,Old,MP,Semi-terrestrial,Urban,"Jodhpur, India"
Semnopithecus entellus,,20,400,6,5,F,Unnatural,Young,MP,Semi-terrestrial,Urban,"Jodhpur, India"
Semnopithecus entellus,,23,529,3,0,NA,Stillbirth,Young,PM,Semi-terrestrial,Urban,"Jodhpur, India"
Semnopithecus entellus,,18,324,17,3,M,Sick,Old,MP,Semi-terrestrial,Urban,"Jodhpur, India"
Semnopithecus entellus,,34,1156,3,1,F,Sick,Young,PM,Semi-terrestrial,Urban,"Jodhpur, India"
Pongo abelii,SuOrangutan,28,784,7,12,M,Sick,Young,MP,Arboreal,Semi wild,"Sumatra, Indonesia"
Pongo abelii,,27,729,4,7,M,Sick,Young,MP,Arboreal,Semi wild,"Sumatra, Indonesia"
Macaca radiata,Bonnet,23.75,564.0625,1.56,0,M,Stillbirth,Old,MP,Semi-terrestrial,Urban,"Mysore, India"
Macaca radiata,,20,400,1.58,6.1,M,Unnatural,Young,MP,Semi-terrestrial,Urban,"Mysore, India"
Macaca radiata,,19.25,370.5625,2.375,5.46,F,Unnatural,Young,MP,Semi-terrestrial,Urban,"Mysore, India"
Macaca radiata,,26.6,707.56,12,7.8,NA,NA,Young,MP,Semi-terrestrial,Semi wild,"Wayanad, India"
Macaca radiata,,29,841,5.25,2,F,Unnatural,Young,PM,Semi-terrestrial,Wild,"Bandipur, India"
Macaca radiata,,33.5,1122.25,2,3.5,M,NA,Young,MP,Semi-terrestrial,Wild,"Bandipur, India"
Macaca radiata,,34.25,1173.0625,0.146,4,M,NA,Young,NA,Semi-terrestrial,Wild,"Bandipur, India"
Macaca silenus,LTM,29.33,860.2489,1.646,4.5,F,Sick,Young,MP,Semi-terrestrial,Wild,"Pudutottam,Tamil Nadu"
Rhinopithecus roxellana,Sichuan Snub,8.4,70.56,32,0,M,Stillbirth,Young,MP,Arboreal,Wild,"Zhouzi NNR, China"
Macaca mulatta,Rhesus,2,4,1,10.8,M,Infanticide,Young,MP,Semi-terrestrial,Urban,"Shimla, India"
Cebus apella,Tufted Capuchin,22,484,1,0.066666667,NA,Infanticide,Old,MP,Arboreal,Urban,"Sao Paulo, Brazil"
Macaca sylvanus,Barbary Macaques,7.5,56.25,4,1.467,M,Sick,Old,MP,Semi-terrestrial,Captivity,France
Saimiri sciureus,Squirrel Monkey,14,196,42,0,M,Stillbirth,Young,PM,Arboreal,Captivity,"San Diego, CA, USA"
Papio ursinus,Chacma Baboon,19.25,370.5625,6,1.4,F,Sick,Young,PM,Semi-terrestrial,Wild,"Lajuma Mountain Retreat,SA"
Cebus apella,Black Capuchin,23,529,2.06,2,M,Infanticide,Young,MP,Arboreal,Wild,"Iguazau NP, Argentina"
Papio anubis,Olive Baboon,22.5,506.25,2,0,M,Stillbirth,Young,MP,Semi-terrestrial,Wild,"Gombe, Tanzania"
Papio hamadryas,Hamadryas Baboon,20,400,2.25,0.233,NA,Unnatural,Young,MP,Semi-terrestrial,Captivity,"Mysore, India"
Papio hamadryas,,21.5,462.25,0.75,0.25,F,Unnatural,Young,MP,Semi-terrestrial,Captivity,"Mysore, India"
Papio hamadryas,,22,484,0.6,0.067,NA,Unnatural,Young,PM,Semi-terrestrial,Captivity,"Mysore, India"
Pan paniscus,Bonobo,20.5,420.25,1,33,F,Sick,NA,MP,Semi-terrestrial,Wild,"Lui Kotale, Congo"
